id,date,title,amount,transaction_type,category,category_group,special_tag,budget_impact,year,month,day_of_week
1,2022-01-01,Điều chỉnh chênh lệch thực tế hoặc Tổng chi phí nhỏ không ghi nhận,7062540,expense,Khác,Tài chính,Other,-7062540,2022,1,Saturday
2,2022-09-07,xăng,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,9,Wednesday
3,2022-09-07,cafe,47000,expense,Cà phê,Ăn uống,,-47000,2022,9,Wednesday
4,2022-09-07,ổ điện,130000,expense,Tiện ích,Sinh hoạt,,-130000,2022,9,Wednesday
5,2022-09-07,net như ý,7000,expense,Giải trí,Giải trí,,-7000,2022,9,Wednesday
6,2022-09-07,xăng,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,9,Wednesday
7,2022-09-07,học phí cyberSoft,18170122,income,Gia đình,Thu nhập,BigY,18170122,2022,9,Wednesday
8,2022-09-08,nước cảm sn khang,25000,expense,Quan hệ xã hội,Xã hội,,-25000,2022,9,Thursday
9,2022-09-08,tiền quà,22000,expense,Quan hệ xã hội,Xã hội,,-22000,2022,9,Thursday
10,2022-09-08,xấy xu bắp xe fu2,700000,expense,Di chuyển,Sinh hoạt,,-700000,2022,9,Thursday
11,2022-09-09,viết mực xanh,30000,expense,Học tập,Học tập,,-30000,2022,9,Friday
12,2022-09-09,hủ tiếu gầm cầu,15000,expense,Ăn chính,Ăn uống,,-15000,2022,9,Friday
13,2022-09-09,sân cầu lông,8000,expense,Cầu lông,Thể thao,,-8000,2022,9,Friday
14,2022-09-09,xăng,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,9,Friday
15,2022-09-09,cơm sườn bà mai,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Friday
16,2022-09-09,đồ dùng trong nhà,182500,expense,Nhà ở,Sinh hoạt,,-182500,2022,9,Friday
17,2022-09-10,cơm trưa,30000,expense,Ăn chính,Ăn uống,,-30000,2022,9,Saturday
18,2022-09-10,ăn cơm sáng,25000,expense,Ăn chính,Ăn uống,,-25000,2022,9,Saturday
19,2022-09-10,trái cây + bánh mì,14000,expense,Ăn vặt,Ăn uống,,-14000,2022,9,Saturday
20,2022-09-10,Hủ tiếu gõ,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Saturday
21,2022-09-10,thùng nước lọc lần đầu,12500,expense,Ăn chính,Ăn uống,,-12500,2022,9,Saturday
22,2022-09-10,nồi cơm điện,126750,expense,Nhà ở,Sinh hoạt,,-126750,2022,9,Saturday
23,2022-09-10,xăng đi sg,100000,expense,Di chuyển,Sinh hoạt,,-100000,2022,9,Saturday
24,2022-09-11,Aquarius (Circle K),10000,expense,Ăn vặt,Ăn uống,,-10000,2022,9,Sunday
25,2022-09-11,cafe gần chợ,10000,expense,Ăn vặt,Ăn uống,,-10000,2022,9,Sunday
26,2022-09-11,card điện thoại,10000,expense,Tiện ích,Sinh hoạt,,-10000,2022,9,Sunday
27,2022-09-11,cơm sườn,28000,expense,Ăn chính,Ăn uống,,-28000,2022,9,Sunday
28,2022-09-11,cơm nấm,15000,expense,Ăn chính,Ăn uống,,-15000,2022,9,Sunday
29,2022-09-11,trà MayCha Tân Phú,15000,expense,Quan hệ xã hội,Xã hội,,-15000,2022,9,Sunday
30,2022-09-11,bánh mì,6000,expense,Ăn chính,Ăn uống,,-6000,2022,9,Sunday
31,2022-09-11,gửi đồ,80000,expense,Tiện ích,Sinh hoạt,,-80000,2022,9,Sunday
32,2022-09-11,đồ dùng thiết yếu trong nhà,185750,expense,Tiện ích,Sinh hoạt,BigM,-185750,2022,9,Sunday
33,2022-09-12,Tiền chợ,150000,expense,Ăn chính,Ăn uống,,-150000,2022,9,Monday
34,2022-09-12,Kệ để chén dĩa,15000,expense,Nhà ở,Sinh hoạt,,-15000,2022,9,Monday
35,2022-09-13,trà teaplus,5000,expense,Ăn vặt,Ăn uống,,-5000,2022,9,Tuesday
36,2022-09-13,xăng (xe kiên),40000,expense,Di chuyển,Sinh hoạt,,-40000,2022,9,Tuesday
37,2022-09-13,cafe the coffe house,29000,expense,Ăn vặt,Ăn uống,,-29000,2022,9,Tuesday
38,2022-09-13,tiền nhà,1400000,expense,Nhà ở,Sinh hoạt,Monthly,-1400000,2022,9,Tuesday
39,2022-09-14,card đt 10k,2000,expense,Tiện ích,Sinh hoạt,,-2000,2022,9,Wednesday
40,2022-09-14,sữa bịt TH minishop,10000,expense,Ăn vặt,Ăn uống,,-10000,2022,9,Wednesday
41,2022-09-14,xoài,6000,expense,Ăn vặt,Ăn uống,,-6000,2022,9,Wednesday
42,2022-09-14,cafe with Văn,20000,expense,Quan hệ xã hội,Xã hội,,-20000,2022,9,Wednesday
43,2022-09-14,cơm + nước suối minishop,20000,expense,Ăn vặt,Ăn uống,,-20000,2022,9,Wednesday
44,2022-09-14,Tiền chợ thêm,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Wednesday
45,2022-09-15,cờ lê số 13,25000,expense,Sự cố,Cá nhân,,-25000,2022,9,Thursday
46,2022-09-15,tiền chợ,50000,expense,Ăn chính,Ăn uống,,-50000,2022,9,Thursday
47,2022-09-15,xăng,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,9,Thursday
48,2022-09-15,đặt 2 đơn shopee đồ lặt vặt,52000,expense,Ăn chính,Ăn uống,,-52000,2022,9,Thursday
49,2022-09-15,ăn sáng xoi gất,15000,expense,Ăn chính,Ăn uống,,-15000,2022,9,Thursday
50,2022-09-15,trà chanh dây Highlands,39000,expense,Quan hệ xã hội,Xã hội,,-39000,2022,9,Thursday
51,2022-09-16,giữ xe bitexco,6000,expense,Sự cố,Cá nhân,,-6000,2022,9,Friday
52,2022-09-16,hủ tiếu đầu ngỏ,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Friday
53,2022-09-16,4g,59000,expense,Tiện ích,Sinh hoạt,,-59000,2022,9,Friday
54,2022-09-16,chụp ảnh 3*4,45000,expense,Tiện ích,Sinh hoạt,,-45000,2022,9,Friday
55,2022-09-16,ăn sáng bánh mì,25000,expense,Ăn chính,Ăn uống,,-25000,2022,9,Friday
56,2022-09-17,tiền chợ,30000,expense,Ăn chính,Ăn uống,,-30000,2022,9,Saturday
57,2022-09-17,nước suối,7000,expense,Ăn chính,Ăn uống,,-7000,2022,9,Saturday
58,2022-09-17,xăng,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,9,Saturday
59,2022-09-19,tiền chợ,200000,expense,Ăn chính,Ăn uống,,-200000,2022,9,Monday
60,2022-09-19,sữa tươi,7000,expense,Ăn vặt,Ăn uống,,-7000,2022,9,Monday
61,2022-09-20,cà phê,9000,expense,Ăn vặt,Ăn uống,,-9000,2022,9,Tuesday
62,2022-09-21,giáo trình,30000,expense,Học tập,Học tập,,-30000,2022,9,Wednesday
63,2022-09-21,Xăng,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,9,Wednesday
64,2022-09-21,sữa tươi,8000,expense,Ăn vặt,Ăn uống,,-8000,2022,9,Wednesday
65,2022-09-21,xăng về nhà với kiên,22500,expense,Di chuyển,Sinh hoạt,,-22500,2022,9,Wednesday
66,2022-09-21,đi cafe với phương,25000,expense,Quan hệ xã hội,Xã hội,,-25000,2022,9,Wednesday
67,2022-09-22,cơm năm minishop,13000,expense,Ăn chính,Ăn uống,,-13000,2022,9,Thursday
68,2022-09-22,phú rút tiền,1100,expense,Tiện ích,Sinh hoạt,,-1100,2022,9,Thursday
69,2022-09-22,xăng về nhà (xe luân),20000,expense,Di chuyển,Sinh hoạt,,-20000,2022,9,Thursday
70,2022-09-22,xăng luân (nợ),30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,9,Thursday
71,2022-09-22,nước cam,20000,expense,Quan hệ xã hội,Xã hội,,-20000,2022,9,Thursday
72,2022-09-22,cafe dọc đường,10000,expense,Cà phê,Ăn uống,,-10000,2022,9,Thursday
73,2022-09-22,cầu lông,18000,expense,Cầu lông,Thể thao,,-18000,2022,9,Thursday
74,2022-09-22,tiền sân cầu lông,5000,expense,Cầu lông,Thể thao,,-5000,2022,9,Thursday
75,2022-09-22,xăng xe tay ga,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,9,Thursday
76,2022-09-22,nước suối,7000,expense,Tiện ích,Sinh hoạt,,-7000,2022,9,Thursday
77,2022-09-22,xăng xe tay ga ở nhà,50000,income,Gia đình,Thu nhập,,50000,2022,9,Thursday
78,2022-09-22,rút tiền từ zalo,200000,income,Anh em,Thu nhập,,200000,2022,9,Thursday
79,2022-09-23,gói iCloud+ 50GB,19000,expense,Tiện ích,Sinh hoạt,Monthly,-19000,2022,9,Friday
80,2022-09-24,xăng tayga,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,9,Saturday
81,2022-09-24,đổi sim viettel,25000,expense,Tiện ích,Sinh hoạt,,-25000,2022,9,Saturday
82,2022-09-24,nước ép thơm,20000,expense,Ăn vặt,Ăn uống,,-20000,2022,9,Saturday
83,2022-09-24,nước suối,5000,expense,Tiện ích,Sinh hoạt,,-5000,2022,9,Saturday
84,2022-09-24,bún đậu mắn tôm,43000,expense,Ăn vặt,Ăn uống,,-43000,2022,9,Saturday
85,2022-09-25,vé xe đi sg,130000,expense,Di chuyển,Sinh hoạt,,-130000,2022,9,Sunday
86,2022-09-25,taxi,250000,expense,Ngu,Cá nhân,,-250000,2022,9,Sunday
87,2022-09-25,ăn trưa (còn say xe),46000,expense,Ăn chính,Ăn uống,,-46000,2022,9,Sunday
88,2022-09-25,cơm sườn,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Sunday
89,2022-09-25,bà nội cho,400000,income,Gia đình,Thu nhập,,400000,2022,9,Sunday
90,2022-09-25,mẹ cho,5020000,income,Gia đình,Thu nhập,,5020000,2022,9,Sunday
91,2022-09-26,ăn cơm làng đại học,27000,expense,Ăn chính,Ăn uống,,-27000,2022,9,Monday
92,2022-09-26,mua đồ ăn siêu thị,66000,expense,Ăn chính,Ăn uống,,-66000,2022,9,Monday
93,2022-09-26,xăng,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,9,Monday
94,2022-09-26,3 quyển sách,80000,income,Bán đồ cũ,Thu nhập,,80000,2022,9,Monday
95,2022-09-26,"Bán sách (3 cuốn sapi, thành phố thông minh)",275000,income,Bán đồ cũ,Thu nhập,,275000,2022,9,Monday
96,2022-09-26,sách full,300000,income,Bán đồ cũ,Thu nhập,,300000,2022,9,Monday
97,2022-09-27,bột chiên gà,8000,expense,Ăn chính,Ăn uống,,-8000,2022,9,Tuesday
98,2022-09-27,hủ tiếu gần trường,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Tuesday
99,2022-09-28,nước lọc,20000,expense,Tiện ích,Sinh hoạt,,-20000,2022,9,Wednesday
100,2022-09-28,nảy chuối cau,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Wednesday
101,2022-09-28,rau mồng tơi,15900,expense,Ăn chính,Ăn uống,,-15900,2022,9,Wednesday
102,2022-09-28,trứng,29500,expense,Ăn chính,Ăn uống,,-29500,2022,9,Wednesday
103,2022-09-28,gạo,10000,expense,Ăn chính,Ăn uống,,-10000,2022,9,Wednesday
104,2022-09-28,cà chua,19100,expense,Ăn chính,Ăn uống,,-19100,2022,9,Wednesday
105,2022-09-28,bàn phím,900000,expense,Giải trí,Giải trí,BigM,-900000,2022,9,Wednesday
106,2022-09-28,sữa tươi,36500,expense,Ăn chính,Ăn uống,,-36500,2022,9,Wednesday
107,2022-09-28,nước suối,10000,expense,Tiện ích,Sinh hoạt,,-10000,2022,9,Wednesday
108,2022-09-29,cơm gà xối mỡ,25000,expense,Ăn chính,Ăn uống,,-25000,2022,9,Thursday
109,2022-09-30,cơm trưa,30000,expense,Ăn chính,Ăn uống,,-30000,2022,9,Friday
110,2022-09-30,xăng,30000,expense,Di chuyển,Sinh hoạt,,-30000,2022,9,Friday
111,2022-09-30,hủ tiếu gần trường IUH,20000,expense,Ăn chính,Ăn uống,,-20000,2022,9,Friday
112,2022-09-30,cơm nấm,15000,expense,Ăn chính,Ăn uống,,-15000,2022,9,Friday
113,2022-10-01,khóa học Cybersoft,17700000,expense,Học tập,Học tập,BigY,-17700000,2022,10,Saturday
114,2022-10-01,2 ngàn mất ngu,2000,expense,Giải trí,Giải trí,,-2000,2022,10,Saturday
115,2022-10-02,cơm trưa Dĩ An,25000,expense,Ăn chính,Ăn uống,,-25000,2022,10,Sunday
116,2022-10-02,phí rút tiền,1100,expense,Tiện ích,Sinh hoạt,,-1100,2022,10,Sunday
117,2022-10-02,cafe dĩ an,25000,expense,Quan hệ xã hội,Xã hội,,-25000,2022,10,Sunday
118,2022-10-02,cafe quán slowe,30000,expense,Cà phê,Ăn uống,,-30000,2022,10,Sunday
119,2022-10-02,tiền nhà,1500000,expense,Nhà ở,Sinh hoạt,Monthly,-1500000,2022,10,Sunday
120,2022-10-02,card đt,10000,expense,Tiện ích,Sinh hoạt,,-10000,2022,10,Sunday
121,2022-10-02,giữ xe BK,3000,expense,Học tập,Học tập,,-3000,2022,10,Sunday
122,2022-10-02,tường bao tiền cơm,25000,income,Anh em,Thu nhập,,25000,2022,10,Sunday
123,2022-10-03,bún đậu mấn tôm,40000,expense,Ăn chính,Ăn uống,,-40000,2022,10,Monday
124,2022-10-03,hủ tiếu đầu ngõ,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Monday
125,2022-10-04,xăng,40000,expense,Di chuyển,Sinh hoạt,,-40000,2022,10,Tuesday
126,2022-10-04,kệ gỗ decol bàn,40000,expense,Giải trí,Giải trí,,-40000,2022,10,Tuesday
127,2022-10-04,phí rút tiền,1100,expense,Tiện ích,Sinh hoạt,,-1100,2022,10,Tuesday
128,2022-10-04,cơm nấm ministop,14000,expense,Ăn chính,Ăn uống,,-14000,2022,10,Tuesday
129,2022-10-04,hột vịt lộn 8/trứng (sáng,17000,expense,Ăn vặt,Ăn uống,,-17000,2022,10,Tuesday
130,2022-10-04,vớ dài,28000,expense,Quần áo,Cá nhân,,-28000,2022,10,Tuesday
131,2022-10-04,chai vitamin C,15000,expense,Quan hệ xã hội,Xã hội,,-15000,2022,10,Tuesday
132,2022-10-05,tiền chợ,50000,expense,Ăn chính,Ăn uống,,-50000,2022,10,Wednesday
133,2022-10-06,photo giấy xác nhận,2000,expense,Học tập,Học tập,,-2000,2022,10,Thursday
134,2022-10-06,gà vs nhóm ngân,50000,expense,Ăn chính,Ăn uống,,-50000,2022,10,Thursday
135,2022-10-06,xăng,45000,expense,Di chuyển,Sinh hoạt,,-45000,2022,10,Thursday
136,2022-10-06,hùng mua nước,3000,expense,Ăn vặt,Ăn uống,,-3000,2022,10,Thursday
137,2022-10-06,hủ tiếu IUH,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Thursday
138,2022-10-07,bún đậu mắn tôm,33000,expense,Ăn chính,Ăn uống,,-33000,2022,10,Friday
139,2022-10-07,tiền chợ,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Friday
140,2022-10-07,cơm gà xối mở,25000,expense,Ăn chính,Ăn uống,,-25000,2022,10,Friday
141,2022-10-07,phí rút tiền,1100,expense,Tiện ích,Sinh hoạt,,-1100,2022,10,Friday
142,2022-10-08,xăng về quê,69000,expense,Di chuyển,Sinh hoạt,,-69000,2022,10,Saturday
143,2022-10-08,quấn cán,20000,expense,Cầu lông,Thể thao,,-20000,2022,10,Saturday
144,2022-10-08,cơm chiên ăn sáng,29000,expense,Ăn chính,Ăn uống,,-29000,2022,10,Saturday
145,2022-10-09,cafe cho mẹ,17000,expense,Tiện ích,Sinh hoạt,,-17000,2022,10,Sunday
146,2022-10-09,nguyện vọng trường sư phạm,30330,expense,Sự cố,Cá nhân,,-30330,2022,10,Sunday
147,2022-10-09,đan vợt,140000,expense,Cầu lông,Thể thao,BigM,-140000,2022,10,Sunday
148,2022-10-09,hớt tóc,35000,expense,Cơ thể,Thể thao,,-35000,2022,10,Sunday
149,2022-10-09,dán laptop,130000,expense,Tiện ích,Sinh hoạt,,-130000,2022,10,Sunday
150,2022-10-09,xăng,50000,expense,Di chuyển,Sinh hoạt,,-50000,2022,10,Sunday
151,2022-10-09,mẹ cho,50000,income,Gia đình,Thu nhập,,50000,2022,10,Sunday
152,2022-10-09,mẹ cho,340000,income,Gia đình,Thu nhập,,340000,2022,10,Sunday
153,2022-10-10,bánh mì vs kiên,7000,expense,Ăn vặt,Ăn uống,,-7000,2022,10,Monday
154,2022-10-10,cơm sườn chị mai,20000,expense,Ăn chính,Ăn uống,,-20000,2022,10,Monday
155,2022-10-10,phí rút tiền,1100,expense,Tiện ích,Sinh hoạt,,-1100,2022,10,Monday
156,2022-10-10,tiền chợ,50000,expense,Ăn chính,Ăn uống,,-50000,2022,10,Monday
157,2022-10-10,card đt,10000,expense,Tiện ích,Sinh hoạt,,-10000,2022,10,Monday
158,2022-10-10,xăng,65000,expense,Di chuyển,Sinh hoạt,,-65000,2022,10,Monday
159,2022-10-10,mẹ cho,4000000,income,Gia đình,Thu nhập,,4000000,2022,10,Monday
